Country Name,Country Code,year,gdp_per_capita
Ghana,GHA,1990.0,1580.65048833616
Kenya,KEN,1990.0,1729.27344602951
Nigeria,NGA,1990.0,2016.63424677759
World,WLD,1990.0,5581.04556229046
South Africa,ZAF,1990.0,6381.67336411338
Ghana,GHA,1991.0,1677.60575346033
Kenya,KEN,1991.0,1755.65401619964
Nigeria,NGA,1991.0,2037.76751010546
World,WLD,1991.0,5767.15089909395
South Africa,ZAF,1991.0,6382.80679300176
Ghana,GHA,1992.0,1738.64019039428
Kenya,KEN,1992.0,1727.54067549476
Nigeria,NGA,1992.0,2124.22338764636
World,WLD,1992.0,5932.2336480441
South Africa,ZAF,1992.0,6275.01326539452
Ghana,GHA,1993.0,1820.65329619434
Kenya,KEN,1993.0,1722.82069886192
Nigeria,NGA,1993.0,2074.60413066968
World,WLD,1993.0,6090.67906227866
South Africa,ZAF,1993.0,6374.77912485754
Ghana,GHA,1994.0,1875.26172705512
Kenya,KEN,1994.0,1754.25340077393
Nigeria,NGA,1994.0,2026.21200884551
World,WLD,1994.0,6321.07883973679
South Africa,ZAF,1994.0,6611.28864473247
Ghana,GHA,1995.0,1946.82217283298
Kenya,KEN,1995.0,1817.60888095695
Nigeria,NGA,1995.0,2013.40021990715
World,WLD,1995.0,6575.02764876222
South Africa,ZAF,1995.0,6875.18838645266
Ghana,GHA,1996.0,2025.83267073248
Kenya,KEN,1996.0,1875.29830948115
Nigeria,NGA,1996.0,2081.16301762663
World,WLD,1996.0,6862.51434018141
South Africa,ZAF,1996.0,7208.00603160939
Ghana,GHA,1997.0,2096.76500280929
Kenya,KEN,1997.0,1865.02667279175
Nigeria,NGA,1997.0,2123.23617310358
World,WLD,1997.0,7155.77130771117
South Africa,ZAF,1997.0,7433.35785896959
Ghana,GHA,1998.0,2166.64663101054
Kenya,KEN,1998.0,1895.01738202937
Nigeria,NGA,1998.0,2145.70603220994
World,WLD,1998.0,7291.05372190536
South Africa,ZAF,1998.0,7463.44455141236
Ghana,GHA,1999.0,2238.66523268803
Kenya,KEN,1999.0,1910.24013027617
Nigeria,NGA,1999.0,2131.83993094123
World,WLD,1999.0,7550.36759599465
South Africa,ZAF,1999.0,7666.71616260078
Ghana,GHA,2000.0,2315.17803047482
Kenya,KEN,2000.0,1906.89794095999
Nigeria,NGA,2000.0,2229.06577778458
World,WLD,2000.0,8005.0642521162
South Africa,ZAF,2000.0,8095.29428867929
Ghana,GHA,2001.0,2397.30067037823
Kenya,KEN,2001.0,1961.05816869463
Nigeria,NGA,2001.0,2349.44185628576
World,WLD,2001.0,8283.82774183088
South Africa,ZAF,2001.0,8428.31681707531
Ghana,GHA,2002.0,2475.09635357919
Kenya,KEN,2002.0,1940.4030326056
Nigeria,NGA,2002.0,2677.28601987647
World,WLD,2002.0,8571.86899873366
South Africa,ZAF,2002.0,8792.35588574265
Ghana,GHA,2003.0,2584.47723729151
Kenya,KEN,2003.0,1974.8582021244
Nigeria,NGA,2003.0,2851.04398807213
World,WLD,2003.0,8940.32776373853
South Africa,ZAF,2003.0,9138.82823855017
Ghana,GHA,2004.0,2729.34450244911
Kenya,KEN,2004.0,2066.31540638632
Nigeria,NGA,2004.0,3111.1401597167
World,WLD,2004.0,9543.03709690236
South Africa,ZAF,2004.0,9713.65348468834
Ghana,GHA,2005.0,2903.83429043881
Kenya,KEN,2005.0,2188.6956101775
Nigeria,NGA,2005.0,3322.01419839354
World,WLD,2005.0,10154.3387904952
South Africa,ZAF,2005.0,10440.6275147132
Ghana,GHA,2006.0,3103.22625820374
Kenya,KEN,2006.0,2330.13028941165
Nigeria,NGA,2006.0,3533.04684735719
World,WLD,2006.0,10982.9424479307
South Africa,ZAF,2006.0,11250.179555872
Ghana,GHA,2007.0,3241.22081107324
Kenya,KEN,2007.0,2481.08706146996
Nigeria,NGA,2007.0,3762.20346362528
World,WLD,2007.0,11744.4721391325
South Africa,ZAF,2007.0,12046.6051072501
Ghana,GHA,2008.0,3515.58923520243
Kenya,KEN,2008.0,2459.12174524213
Nigeria,NGA,2008.0,3981.65811697837
World,WLD,2008.0,12282.0535578214
South Africa,ZAF,2008.0,12525.2630299811
Ghana,GHA,2009.0,3617.23944435035
Kenya,KEN,2009.0,2480.0442906801
Nigeria,NGA,2009.0,4209.21853192942
World,WLD,2009.0,12232.7233185614
South Africa,ZAF,2009.0,12261.4115911303
Ghana,GHA,2010.0,3855.46891716757
Kenya,KEN,2010.0,2634.89271323826
Nigeria,NGA,2010.0,4474.60705075023
World,WLD,2010.0,12882.8028021865
South Africa,ZAF,2010.0,12637.2912226018
Ghana,GHA,2011.0,4381.12535523694
Kenya,KEN,2011.0,2750.28663787693
Nigeria,NGA,2011.0,4676.40815119281
World,WLD,2011.0,13569.2478017729
South Africa,ZAF,2011.0,13143.1933361097
Ghana,GHA,2012.0,4933.65254349093
Kenya,KEN,2012.0,2847.27068286846
Nigeria,NGA,2012.0,4737.10674439825
World,WLD,2012.0,14110.3961346767
South Africa,ZAF,2012.0,12986.7976675307
Ghana,GHA,2013.0,5214.56935848794
Kenya,KEN,2013.0,3106.39394464885
Nigeria,NGA,2013.0,4973.78527551768
World,WLD,2013.0,14639.4421779114
South Africa,ZAF,2013.0,13369.4382039605
Ghana,GHA,2014.0,5517.13178763566
Kenya,KEN,2014.0,3359.48950665093
Nigeria,NGA,2014.0,5252.15094956758
World,WLD,2014.0,15032.3068705392
South Africa,ZAF,2014.0,13358.9417186608
Ghana,GHA,2015.0,5191.37053389659
Kenya,KEN,2015.0,3678.32614146019
Nigeria,NGA,2015.0,5189.45397195461
World,WLD,2015.0,15199.5111799019
South Africa,ZAF,2015.0,13397.5234813346
Ghana,GHA,2016.0,5011.07931572904
Kenya,KEN,2016.0,3916.65315673095
Nigeria,NGA,2016.0,5022.33326703982
World,WLD,2016.0,15651.8721500529
South Africa,ZAF,2016.0,13519.3235102376
Ghana,GHA,2017.0,5170.96094857439
Kenya,KEN,2017.0,4177.24993580267
Nigeria,NGA,2017.0,4996.89472791886
World,WLD,2017.0,16340.3954805096
South Africa,ZAF,2017.0,13738.4385854596
Ghana,GHA,2018.0,5536.49795400218
Kenya,KEN,2018.0,4411.56104120886
Nigeria,NGA,2018.0,5083.17233102207
World,WLD,2018.0,17205.8060052762
South Africa,ZAF,2018.0,13347.3634826038
Ghana,GHA,2019.0,6002.55044678386
Kenya,KEN,2019.0,4687.37782325306
Nigeria,NGA,2019.0,5362.40830757561
World,WLD,2019.0,18037.3592033385
South Africa,ZAF,2019.0,13361.4851289112
Ghana,GHA,2020.0,6047.30111673554
Kenya,KEN,2020.0,4792.57315847182
Nigeria,NGA,2020.0,5353.70554899388
World,WLD,2020.0,17808.0573966815
South Africa,ZAF,2020.0,12671.0862436851
Ghana,GHA,2021.0,6607.50297378321
Kenya,KEN,2021.0,5338.85243382781
Nigeria,NGA,2021.0,5491.70034068297
World,WLD,2021.0,19742.3647128621
South Africa,ZAF,2021.0,13711.2935730474
Ghana,GHA,2022.0,7208.15798982723
Kenya,KEN,2022.0,5883.22303961921
Nigeria,NGA,2022.0,5948.72614706809
World,WLD,2022.0,21795.5422800663
South Africa,ZAF,2022.0,14759.4350715619
Ghana,GHA,2023.0,7556.41605453234
Kenya,KEN,2023.0,6307.23249419302
Nigeria,NGA,2023.0,6207.42137845067
World,WLD,2023.0,23048.6731395489
South Africa,ZAF,2023.0,15194.1991759502
Ghana,GHA,2024.0,8027.16842346122
Kenya,KEN,2024.0,6619.35857448994
Nigeria,NGA,2024.0,6439.81292158502
World,WLD,2024.0,24247.9375140792
South Africa,ZAF,2024.0,15457.4891449518
